date,site,variable,values
2017-07-14T22:00:00Z,Bueu,sst,16.91443833
2017-07-14T22:00:00Z,Bueu,airtemp,29.38607178
2017-07-14T22:00:00Z,Bueu,chl,1.57778275
2017-07-14T22:00:00Z,Camelle,sst,16.63999356
2017-07-14T22:00:00Z,Camelle,airtemp,21.24129639
2017-07-14T22:00:00Z,Camelle,chl,1.053232431
2017-07-14T22:00:00Z,A Coruña,sst,17.018883
2017-07-14T22:00:00Z,A Coruña,airtemp,22.68682251
2017-07-14T22:00:00Z,A Coruña,chl,2.743826866
2017-07-15T22:00:00Z,A Guarda,sst,16.809994
2017-07-15T22:00:00Z,A Guarda,airtemp,25.75209961
2017-07-15T22:00:00Z,A Guarda,chl,3.774464607
2017-07-15T22:00:00Z,Baiona,sst,17.18443867
2017-07-15T22:00:00Z,Baiona,airtemp,24.23424683
2017-07-15T22:00:00Z,Baiona,chl,8.421041489
2017-07-15T22:00:00Z,Cangas,sst,17.29110522
2017-07-15T22:00:00Z,Cangas,airtemp,25.01760254
2017-07-15T22:00:00Z,Cangas,chl,1.118448138
2017-07-15T22:00:00Z,Bueu,sst,17.10888267
2017-07-15T22:00:00Z,Bueu,airtemp,27.39663086
2017-07-15T22:00:00Z,Bueu,chl,2.43456459
2017-07-15T22:00:00Z,Camelle,sst,16.70999389
2017-07-15T22:00:00Z,Camelle,airtemp,24.07622681
2017-07-15T22:00:00Z,Camelle,chl,1.090283632
2017-07-15T22:00:00Z,A Coruña,sst,17.022216
2017-07-15T22:00:00Z,A Coruña,airtemp,25.78347168
2017-07-15T22:00:00Z,A Coruña,chl,2.540842533
2017-07-16T22:00:00Z,A Guarda,sst,16.90499367
2017-07-16T22:00:00Z,A Guarda,airtemp,22.91838989
2017-07-16T22:00:00Z,A Guarda,chl,3.192316055
2017-07-16T22:00:00Z,Baiona,sst,17.21332733
2017-07-16T22:00:00Z,Baiona,airtemp,21.72677002
2017-07-16T22:00:00Z,Baiona,chl,4.194162369
2017-07-16T22:00:00Z,Cangas,sst,17.29888256
2017-07-16T22:00:00Z,Cangas,airtemp,21.56273804
2017-07-16T22:00:00Z,Cangas,chl,0.302084684
2017-07-16T22:00:00Z,Bueu,sst,17.13999422
2017-07-16T22:00:00Z,Bueu,airtemp,22.49624023
2017-07-16T22:00:00Z,Bueu,chl,2.040882826
2017-07-16T22:00:00Z,Camelle,sst,16.78332689
2017-07-16T22:00:00Z,Camelle,airtemp,23.72103271
2017-07-16T22:00:00Z,Camelle,chl,1.345325589
2017-07-16T22:00:00Z,A Coruña,sst,17.10332756
2017-07-16T22:00:00Z,A Coruña,airtemp,25.67794189
2017-07-16T22:00:00Z,A Coruña,chl,3.482039928
2017-07-17T22:00:00Z,A Guarda,sst,16.8716605
2017-07-17T22:00:00Z,A Guarda,airtemp,20.45977173
2017-07-17T22:00:00Z,A Guarda,chl,2.69432497
2017-07-17T22:00:00Z,Baiona,sst,17.09443867
2017-07-17T22:00:00Z,Baiona,airtemp,20.01049194
2017-07-17T22:00:00Z,Baiona,chl,4.300712109
2017-07-17T22:00:00Z,Cangas,sst,17.152216
2017-07-17T22:00:00Z,Cangas,airtemp,19.90856323
2017-07-17T22:00:00Z,Cangas,chl,0.303118467
2017-07-17T22:00:00Z,Bueu,sst,17.00554967
2017-07-17T22:00:00Z,Bueu,airtemp,20.15883789
2017-07-17T22:00:00Z,Bueu,chl,1.898872614
2017-07-17T22:00:00Z,Camelle,sst,16.46221667
2017-07-17T22:00:00Z,Camelle,airtemp,19.83681641
2017-07-17T22:00:00Z,Camelle,chl,1.62741363
2017-07-17T22:00:00Z,A Coruña,sst,16.88554944
2017-07-17T22:00:00Z,A Coruña,airtemp,22.67232666
2017-07-17T22:00:00Z,A Coruña,chl,3.425523281
2017-07-18T22:00:00Z,A Guarda,sst,16.99999417
2017-07-18T22:00:00Z,A Guarda,airtemp,19.19335327
2017-07-18T22:00:00Z,A Guarda,chl,2.007674456
2017-07-18T22:00:00Z,Baiona,sst,17.05666033
2017-07-18T22:00:00Z,Baiona,airtemp,18.8104187
2017-07-18T22:00:00Z,Baiona,chl,2.413849115
2017-07-18T22:00:00Z,Cangas,sst,17.06888267
2017-07-18T22:00:00Z,Cangas,airtemp,19.06853638
2017-07-18T22:00:00Z,Cangas,chl,0.346261024
2017-07-18T22:00:00Z,Bueu,sst,16.89554967
2017-07-18T22:00:00Z,Bueu,airtemp,20.00203857
2017-07-18T22:00:00Z,Bueu,chl,0.662054896
2017-07-18T22:00:00Z,Camelle,sst,16.36110489
2017-07-18T22:00:00Z,Camelle,airtemp,19.12883911
2017-07-18T22:00:00Z,Camelle,chl,1.698106766
2017-07-18T22:00:00Z,A Coruña,sst,16.73110533
2017-07-18T22:00:00Z,A Coruña,airtemp,19.37487183
2017-07-18T22:00:00Z,A Coruña,chl,3.668682098
2017-07-19T22:00:00Z,A Guarda,sst,16.89332733
2017-07-19T22:00:00Z,A Guarda,airtemp,19.23314819
2017-07-19T22:00:00Z,A Guarda,chl,2.005778313
2017-07-19T22:00:00Z,Baiona,sst,16.94554967
2017-07-19T22:00:00Z,Baiona,airtemp,18.84057007
2017-07-19T22:00:00Z,Baiona,chl,2.341990948
2017-07-19T22:00:00Z,Cangas,sst,16.97221622
2017-07-19T22:00:00Z,Cangas,airtemp,19.60222778
2017-07-19T22:00:00Z,Cangas,chl,0.442106009
2017-07-19T22:00:00Z,Bueu,sst,16.81110478
2017-07-19T22:00:00Z,Bueu,airtemp,20.37593994
2017-07-19T22:00:00Z,Bueu,chl,0.722200513
2017-07-19T22:00:00Z,Camelle,sst,16.42110489
2017-07-19T22:00:00Z,Camelle,airtemp,18.2194458
2017-07-19T22:00:00Z,Camelle,chl,1.66951108
2017-07-19T22:00:00Z,A Coruña,sst,16.81110478
2017-07-19T22:00:00Z,A Coruña,airtemp,18.50106201
2017-07-19T22:00:00Z,A Coruña,chl,3.450354338
2017-07-20T22:00:00Z,A Guarda,sst,16.899994
2017-07-20T22:00:00Z,A Guarda,airtemp,19.57207642
2017-07-20T22:00:00Z,A Guarda,chl,1.771852136
2017-07-20T22:00:00Z,Baiona,sst,16.95888267
2017-07-20T22:00:00Z,Baiona,airtemp,18.87072144
2017-07-20T22:00:00Z,Baiona,chl,2.509985209
2017-07-20T22:00:00Z,Cangas,sst,16.99221578
2017-07-20T22:00:00Z,Cangas,airtemp,19.10894165
2017-07-20T22:00:00Z,Cangas,chl,0.376453638
2017-07-20T22:00:00Z,Bueu,sst,16.85666067
2017-07-20T22:00:00Z,Bueu,airtemp,19.81569824
2017-07-20T22:00:00Z,Bueu,chl,0.866398454
2017-07-20T22:00:00Z,Camelle,sst,16.529994
2017-07-20T22:00:00Z,Camelle,airtemp,19.08178101
2017-07-20T22:00:00Z,Camelle,chl,2.216640472
2017-07-20T22:00:00Z,A Coruña,sst,16.90888278
2017-07-20T22:00:00Z,A Coruña,airtemp,19.88988647
2017-07-20T22:00:00Z,A Coruña,chl,6.611129761
2017-07-21T22:00:00Z,A Guarda,sst,16.929994
2017-07-21T22:00:00Z,A Guarda,airtemp,19.59859619
2017-07-21T22:00:00Z,A Guarda,chl,1.834867477
2017-07-21T22:00:00Z,Baiona,sst,17.10777167
2017-07-21T22:00:00Z,Baiona,airtemp,19.17104492
2017-07-21T22:00:00Z,Baiona,chl,2.890334606
2017-07-21T22:00:00Z,Cangas,sst,17.18554956
2017-07-21T22:00:00Z,Cangas,airtemp,19.53588257
2017-07-21T22:00:00Z,Cangas,chl,0.068545103
2017-07-21T22:00:00Z,Bueu,sst,17.13888278
2017-07-21T22:00:00Z,Bueu,airtemp,20.27041016
2017-07-21T22:00:00Z,Bueu,chl,0.774861932
2017-07-21T22:00:00Z,Camelle,sst,16.63666067
2017-07-21T22:00:00Z,Camelle,airtemp,18.25863037
2017-07-21T22:00:00Z,Camelle,chl,1.917057514
2017-07-21T22:00:00Z,A Coruña,sst,16.93554956
2017-07-21T22:00:00Z,A Coruña,airtemp,18.0831543
2017-07-21T22:00:00Z,A Coruña,chl,6.646359444
2017-07-22T22:00:00Z,A Guarda,sst,16.849994
2017-07-22T22:00:00Z,A Guarda,airtemp,21.85942993
2017-07-22T22:00:00Z,A Guarda,chl,1.859179854
2017-07-22T22:00:00Z,Baiona,sst,17.10443833
2017-07-22T22:00:00Z,Baiona,airtemp,21.07003174
2017-07-22T22:00:00Z,Baiona,chl,0.930557728
2017-07-22T22:00:00Z,Cangas,sst,17.21110544
2017-07-22T22:00:00Z,Cangas,airtemp,21.23046265
2017-07-22T22:00:00Z,Cangas,chl,NA
2017-07-22T22:00:00Z,Bueu,sst,17.19221611
2017-07-22T22:00:00Z,Bueu,airtemp,21.75390015
2017-07-22T22:00:00Z,Bueu,chl,0.274644613
2017-07-22T22:00:00Z,Camelle,sst,16.72110522
2017-07-22T22:00:00Z,Camelle,airtemp,19.27114258
2017-07-22T22:00:00Z,Camelle,chl,0.955120206
2017-07-22T22:00:00Z,A Coruña,sst,16.94999378
2017-07-22T22:00:00Z,A Coruña,airtemp,19.75179443
2017-07-22T22:00:00Z,A Coruña,chl,5.959398746
2017-07-23T22:00:00Z,A Guarda,sst,16.6466605
2017-07-23T22:00:00Z,A Guarda,airtemp,21.44030151
2017-07-23T22:00:00Z,A Guarda,chl,1.808952212
2017-07-23T22:00:00Z,Baiona,sst,17.04554967
2017-07-23T22:00:00Z,Baiona,airtemp,20.82338867
2017-07-23T22:00:00Z,Baiona,chl,0.9138515
2017-07-23T22:00:00Z,Cangas,sst,17.199994
2017-07-23T22:00:00Z,Cangas,airtemp,21.30584106
2017-07-23T22:00:00Z,Cangas,chl,NA
2017-07-23T22:00:00Z,Bueu,sst,17.21777211
2017-07-23T22:00:00Z,Bueu,airtemp,22.01079712
2017-07-23T22:00:00Z,Bueu,chl,0.077521324
2017-07-23T22:00:00Z,Camelle,sst,16.82666067
2017-07-23T22:00:00Z,Camelle,airtemp,19.01848755
2017-07-23T22:00:00Z,Camelle,chl,0.511792064
2017-07-23T22:00:00Z,A Coruña,sst,17.02110511
2017-07-23T22:00:00Z,A Coruña,airtemp,19.02208862
2017-07-23T22:00:00Z,A Coruña,chl,5.464832306
2017-07-24T22:00:00Z,A Guarda,sst,16.50332767
2017-07-24T22:00:00Z,A Guarda,airtemp,23.74697266
2017-07-24T22:00:00Z,A Guarda,chl,2.393161297
2017-07-24T22:00:00Z,Baiona,sst,16.99554922
2017-07-24T22:00:00Z,Baiona,airtemp,23.1083313
2017-07-24T22:00:00Z,Baiona,chl,3.640948057
2017-07-24T22:00:00Z,Cangas,sst,17.16888289
2017-07-24T22:00:00Z,Cangas,airtemp,23.60827026
2017-07-24T22:00:00Z,Cangas,chl,3.624932289
2017-07-24T22:00:00Z,Bueu,sst,17.14666056
2017-07-24T22:00:00Z,Bueu,airtemp,24.08104858
2017-07-24T22:00:00Z,Bueu,chl,3.055816174
2017-07-24T22:00:00Z,Camelle,sst,16.82554933
2017-07-24T22:00:00Z,Camelle,airtemp,19.40682373
2017-07-24T22:00:00Z,Camelle,chl,0.629021525
2017-07-24T22:00:00Z,A Coruña,sst,17.13666022
2017-07-24T22:00:00Z,A Coruña,airtemp,19.92485962
2017-07-24T22:00:00Z,A Coruña,chl,3.580112934
2017-07-25T22:00:00Z,A Guarda,sst,16.29499417
2017-07-25T22:00:00Z,A Guarda,airtemp,22.95275269
2017-07-25T22:00:00Z,A Guarda,chl,2.248273849
2017-07-25T22:00:00Z,Baiona,sst,16.921105
2017-07-25T22:00:00Z,Baiona,airtemp,22.22850952
2017-07-25T22:00:00Z,Baiona,chl,2.268796206
2017-07-25T22:00:00Z,Cangas,sst,17.11332722
2017-07-25T22:00:00Z,Cangas,airtemp,23.01186523
2017-07-25T22:00:00Z,Cangas,chl,1.009091258
2017-07-25T22:00:00Z,Bueu,sst,17.10888233
2017-07-25T22:00:00Z,Bueu,airtemp,23.91402588
2017-07-25T22:00:00Z,Bueu,chl,1.311055779
2017-07-25T22:00:00Z,Camelle,sst,16.82443833
2017-07-25T22:00:00Z,Camelle,airtemp,20.15221558
2017-07-25T22:00:00Z,Camelle,chl,0.784961104
2017-07-25T22:00:00Z,A Coruña,sst,17.14666022
